px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.30997	-6.00879	-2.39742	-2.57439	0.0493572	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0.34505
8.45927	-5.97201	-2.66127	-2.71469	-0.409743	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	3.92714
8.61484	-5.88593	-2.77003	-2.71667	-0.369739	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0.181916
8.69891	-5.79033	-2.33884	-2.60321	0.0587777	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	3.94825
8.82897	-5.68718	-2.45647	-2.56847	0.118222	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0.211797
8.92474	-5.60102	-2.39257	-2.50964	0.283284	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	0.561819
9.03527	-5.49746	-2.49407	-2.46943	0.329504	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0.167014
9.17929	-5.45825	-2.73492	-2.6365	-0.261675	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	6.03836
9.32472	-5.35915	-2.82626	-2.6316	-0.228456	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0.111793
9.39673	-5.26284	-2.38545	-2.52044	0.175014	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	3.61893
9.51933	-5.1581	-2.48074	-2.49054	0.214588	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0.139588
9.61713	-5.06674	-2.39417	-2.43657	0.360657	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	0.674426
9.72976	-4.95546	-2.48129	-2.39954	0.392869	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0.108637
9.82518	-4.85218	-2.45755	-2.34782	0.489508	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	0.23484
9.92662	-4.74537	-2.49891	-2.31761	0.496301	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0.0534935
10.0111	-4.62642	-2.49993	-2.25501	0.596053	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	0.183014
10.1117	-4.48549	-2.61969	-2.20513	0.624965	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0.169279
10.2044	-4.36558	-2.66999	-2.19603	0.53457	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	0.22663
10.3119	-4.20328	-2.83173	-2.15224	0.557259	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	0.325324
10.4514	-4.10647	-2.93818	-2.27875	0.0586999	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	3.43263
10.5558	-3.96869	-2.97964	-2.26745	0.0704192	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	0.0477798
10.6571	-3.8427	-2.95916	-2.2544	0.105301	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	0.0512311
10.7555	-3.73027	-2.91682	-2.25649	0.0908364	10.7616	-3.75002	10.75	-3.75	1.81902	1.81903	0.0309267
10.7945	-3.59561	-2.62068	-2.11651	0.565906	10.795	-3.60617	10.8	-3.6	0.909773	2.72931	3.84461
10.8637	-3.46799	-2.62701	-2.08251	0.570485	10.8527	-3.46164	10.85	-3.45	0.909764	2.72928	0.00894694
